industry,得分,股票数,平均分,代表股
电力,28,5,5.6,"新中港(SH605162,+26%)"
化学制品,50,9,5.56,"元利科技(SH603217,+42%)"
软件开发,50,9,5.56,"麒麟信安(SH688152,+37%)"
医疗器械,66,12,5.5,"南卫股份(SH603880,+44%)"
家居用品,66,12,5.5,"建霖家居(SH603408,+11%)"
服装家纺,66,12,5.5,"哈森股份(SH603958,+65%)"
贵金属,22,4,5.5,"山东黄金(SH600547,+37%)"
贸易Ⅱ,22,4,5.5,"苏豪时尚(SH600287,+9%)"
一般零售,54,10,5.4,"国芳集团(SH601086,+16%)"
广告营销,16,3,5.33,"ST华扬(SH603825,+18%)"
通信服务,16,3,5.33,"中通国脉(SH603559,+26%)"
中药Ⅱ,26,5,5.2,"千金药业(SH600479,+23%)"
多元金融,26,5,5.2,"新力金融(SH600318,+3%)"
轨交设备Ⅱ,26,5,5.2,"康尼机电(SH603111,+6%)"
食品加工,26,5,5.2,"春雪食品(SH605567,+13%)"
出版,36,7,5.14,"时代出版(SH600551,+16%)"
房地产开发,46,9,5.11,"京投发展(SH600683,+39%)"
汽车零部件,112,22,5.09,"浙江黎明(SH603048,+24%)"
工业金属,66,13,5.08,"金徽股份(SH603132,+18%)"
专用设备,96,19,5.05,"一拖股份(SH601038,+3%)"
环境治理,40,8,5.0,"卓锦股份(SH688701,+27%)"
个护用品,20,4,5.0,"诺邦股份(SH603238,+5%)"
工程咨询服务Ⅱ,20,4,5.0,"华建集团(SH600629,+16%)"
摩托车及其他,20,4,5.0,"林海股份(SH600099,+11%)"
IT服务Ⅱ,10,2,5.0,"信雅达(SH600571,+3%)"
光学光电子,10,2,5.0,"华体科技(SH603679,+12%)"
化妆品,10,2,5.0,"福瑞达(SH600223,+0%)"
工程机械,10,2,5.0,"天元智能(SH603273,+6%)"
水泥,10,2,5.0,"华新建材(SH600801,+10%)"
渔业,10,2,5.0,"开创国际(SH600097,+11%)"
综合Ⅱ,10,2,5.0,"宁波联合(SH600051,+7%)"
酒店餐饮,10,2,5.0,"金陵饭店(SH601007,+4%)"
饲料,10,2,5.0,"邦基科技(SH603151,+35%)"
生物制品,34,7,4.86,"近岸蛋白(SH688137,+94%)"
通信设备,34,7,4.86,"共进股份(SH603118,+41%)"
元件,24,5,4.8,"迅捷兴(SH688655,+48%)"
专业工程,14,3,4.67,"镇海股份(SH603637,+27%)"
光伏设备,14,3,4.67,"金辰股份(SH603396,+26%)"
电机Ⅱ,14,3,4.67,"神力股份(SH603819,+15%)"
包装印刷,18,4,4.5,"新通联(SH603022,+11%)"
家电零部件Ⅱ,18,4,4.5,"立霸股份(SH603519,+14%)"
电池,12,3,4.0,"万里股份(SH600847,+12%)"
非白酒,12,3,4.0,"会稽山(SH601579,+27%)"
小家电,8,2,4.0,"石头科技(SH688169,+15%)"
数字媒体,8,2,4.0,"返利科技(SH600228,+24%)"
汽车服务,8,2,4.0,"上海物贸(SH600822,+1%)"
照明设备Ⅱ,8,2,4.0,"得邦照明(SH603303,+36%)"
调味发酵品Ⅱ,8,2,4.0,"莲花控股(SH600186,+38%)"
非金属材料Ⅱ,8,2,4.0,"龙高股份(SH605086,+15%)"
饰品,8,2,4.0,"莱绅通灵(SH603900,+21%)"
休闲食品,4,1,4.0,"元祖股份(SH603886,+19%)"
保险Ⅱ,4,1,4.0,"中国平安(SH601318,+0%)"
橡胶,4,1,4.0,"确成股份(SH605183,+2%)"
特钢Ⅱ,4,1,4.0,"甬金股份(SH603995,+23%)"
玻璃玻纤,4,1,4.0,"耀皮玻璃(SH600819,+5%)"
电子化学品Ⅱ,4,1,4.0,"天通股份(SH600330,+73%)"
计算机设备,4,1,4.0,"云涌科技(SH688060,+8%)"
