ticker,name,sector,industry,date,close,chg20,volume,score,passed,uptrend
IOVA,"Iovance Biotherapeutics, Inc.",医疗保健,生物科技：生物制品,2026-08-27,8.26,76.1,138245945,1.0,uptrend,6/8
ARX,Accelerant Holdings,金融,专业保险,2026-08-27,19.69,75.8,135335474,1.0,uptrend,7/8
NIQ,Niq Global Intelligence Plc,科技,计算机软件：编程与数据处理,2026-08-27,19.07,67.6,31292504,1.0,uptrend,7/8
TWST,Twist Bioscience Corporation,医疗保健,生物科技：生物制品,2026-08-27,153.1,67.6,226850867,1.0,uptrend,7/8
IMMX,"Immix Biopharma, Inc.",医疗保健,生物科技：制药,2026-08-27,14.31,67.4,18914032,1.0,uptrend,8/8
VREX,Varex Imaging Corporation,科技,工业机械/零部件,2026-08-27,18.49,67.0,26874493,1.0,uptrend,7/8
AMPL,"Amplitude, Inc.",科技,计算机软件：成品软件,2026-08-27,14.28,65.9,26590365,1.0,uptrend,7/8
BWMN,Bowman Consulting Group Ltd.,非必需消费,专业服务,2026-08-27,42.52,64.5,22549707,1.0,uptrend,7/8
CAI,"Caris Life Sciences, Inc.",医疗保健,医疗专科,2026-08-27,26.38,64.0,131047898,1.0,uptrend,7/8
HELP,Cybin Inc.,医疗保健,生物科技：制药,2026-08-27,13.24,62.7,22102042,1.0,uptrend,6/8
ALM,Almonty Industries Inc.,基础材料,Other Metals and Minerals,2026-08-27,18.89,61.9,106920708,1.0,uptrend,6/8
OMER,奥麦罗制药,医疗保健,生物科技：制药,2026-08-27,19.25,61.4,40111732,1.0,uptrend,7/8
RUM,Rum Group Inc.,科技,计算机软件：编程与数据处理,2026-08-27,9.43,59.8,35441556,1.0,uptrend,7/8
TEM,Tempus AI,科技,计算机软件：编程与数据处理,2026-08-27,70.69,59.6,444255665,1.0,uptrend,8/8
AMR,"Alpha Metallurgical Resources, Inc.",能源,煤炭开采,2026-08-27,227.38,58.1,65402281,1.0,uptrend,7/8
AUGO,Aura Minerals Inc.,基础材料,金属矿业,2026-08-27,89.12,57.9,72748643,1.0,uptrend,7/8
APPN,Appian Corporation,科技,计算机软件：成品软件,2026-08-27,41.4,56.3,29413030,1.0,uptrend,8/8
FET,"Forum Energy Technologies, Inc.",非必需消费,Oil and Gas Field Machinery,2026-08-27,79.78,55.1,17476095,1.0,uptrend,6/8
HNST,"The Honest Company, Inc.",非必需消费,目录/专业分销,2026-08-27,5.76,54.8,17703877,1.0,uptrend,6/8
PLTR,Palantir,科技,计算机软件：成品软件,2026-08-27,185.93,52.1,7823374762,1.0,uptrend,7/8
SATL,Satellogic Inc.,科技,Radio And Television Broadcasting And Communications Equipment,2026-08-27,5.31,52.1,31359967,1.0,uptrend,6/8
BTG,B2Gold Corp,基础材料,贵金属,2026-08-27,5.83,51.4,147240821,1.0,uptrend,8/8
WIX,Wix.Com Ltd.,科技,计算机软件：编程与数据处理,2026-08-27,85.76,51.3,128563076,1.0,uptrend,7/8
GTE,Gran Tierra Energy Inc.,能源,油气生产,2026-08-27,10.11,51.1,17849927,1.0,uptrend,7/8
DXYZ,科技100封闭基金-Destiny,,,2026-08-27,35.4,50.6,39816108,1.0,uptrend,6/8
NG,Novagold Resources Inc.,基础材料,贵金属,2026-08-27,9.12,50.2,40932052,1.0,uptrend,7/8
RBRK,"Rubrik, Inc.",科技,计算机软件：成品软件,2026-08-27,107.02,49.5,330134081,1.0,uptrend,8/8
ARIS,Aris Mining Corporation,,,2026-08-27,21.26,49.2,28374285,1.0,uptrend,6/8
BXC,布鲁林克斯,非必需消费,Wholesale Distributors,2026-08-27,79.73,49.1,14959742,1.0,uptrend,5/8
HZO,海上麦斯服务,非必需消费,汽车与家居用品零售,2026-08-27,52.19,49.0,47779154,1.0,uptrend,7/8
BLSH,Bullish,金融,金融：消费服务,2026-08-27,33.56,48.6,47598083,1.0,uptrend,6/8
ABTC,American Bitcoin Corp.,金融,金融：消费服务,2026-08-27,8.76,48.5,12384599,1.0,uptrend,5/8
PATH,"Uipath, Inc.",科技,计算机软件：成品软件,2026-08-27,18.33,48.2,1038928978,1.0,uptrend,7/8
FDMT,"4D Molecular Therapeutics, Inc.",医疗保健,生物科技：生物制品,2026-08-27,14.91,48.1,14311549,1.0,uptrend,6/8
IAG,Iamgold Corporation,基础材料,贵金属,2026-08-27,21.54,47.9,115915502,1.0,uptrend,7/8
SLS,"Sellas Life Sciences Group, Inc.",医疗保健,生物科技：制药,2026-08-27,15.21,47.8,89154977,1.0,uptrend,7/8
CHYM,"Chime Financial, Inc.",金融,金融：消费服务,2026-08-27,33.36,47.6,304288446,1.0,uptrend,7/8
FIGR,"Figure Technology Solutions, Inc.",金融,金融：消费服务,2026-08-27,38.02,47.3,154703148,1.0,uptrend,5/8
ZLAB,再鼎医药,医疗保健,生物科技：制药,2026-08-27,26.82,47.3,31521103,1.0,uptrend,6/8
ERO,Ero Copper Corp.,基础材料,金属矿业,2026-08-27,39.82,47.2,59034767,1.0,uptrend,8/8
SGMT,Sagimet Biosciences Inc. - Series A,医疗保健,生物科技：制药,2026-08-27,10.75,47.1,13515166,1.0,uptrend,7/8
PAYC,"Paycom Software, Inc.",科技,计算机软件：成品软件,2026-08-27,237.04,47.0,196028630,1.0,uptrend,7/8
CRCL,Circle互联网集团,金融,金融：消费服务,2026-08-27,94.24,46.7,1117589511,1.0,uptrend,7/8
INBX,"Inhibrx Biosciences, Inc.",医疗保健,生物科技：生物制品,2026-08-27,123.93,46.3,26565931,1.0,uptrend,8/8
SSRM,Ssr Mining Inc.,工业,贵金属,2026-08-27,39.01,46.3,97074151,1.0,uptrend,7/8
FSM,Fortuna Mining Corp.,基础材料,贵金属,2026-08-27,12.81,46.1,63667307,1.0,uptrend,8/8
ANF,爱芬奇,非必需消费,服装/鞋/配饰零售,2026-08-27,145.75,45.4,267058642,1.0,uptrend,8/8
EXK,Endeavour Silver Corporation,基础材料,贵金属,2026-08-27,11.3,45.4,88011781,1.0,uptrend,8/8
VOYG,"Voyager Technologies, Inc.",工业,Military/Government/Technical,2026-08-27,34.73,44.9,65359838,1.0,uptrend,5/8
AU,盎格鲁黄金,基础材料,贵金属,2026-08-27,118.4,44.7,328224372,1.0,uptrend,8/8
USAU,盎格鲁黄金,基础材料,金属矿业,2026-08-27,118.4,44.7,328224372,1.0,uptrend,8/8
CDE,科尔黛伦矿业,基础材料,贵金属,2026-08-27,22.21,44.2,766793911,1.0,uptrend,8/8
REAX,Real Remax Group Inc.,金融,房地产,2026-08-27,23.63,44.1,139202266,1.0,uptrend,5/8
FIGS,"Figs, Inc.",非必需消费,服装,2026-08-27,15.1,43.9,44407866,1.0,uptrend,7/8
PAYS,"Paysign, Inc.",科技,电子数据处理服务,2026-08-27,13.16,43.7,10195266,1.0,uptrend,6/8
HL,赫克拉矿业,工业,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2026-08-27,21.43,43.5,698318474,1.0,uptrend,6/8
INFQ,"Infleqtion, Inc.",科技,电子数据处理服务,2026-08-27,14.32,43.5,120014808,1.0,uptrend,6/7
EQX,Equinox Gold Corp.,基础材料,贵金属,2026-08-27,13.45,43.2,186450420,1.0,uptrend,7/8
GFI,金田,基础材料,贵金属,2026-08-27,48.0,43.2,158223277,1.0,uptrend,8/8
AEM,伊格尔矿业,基础材料,贵金属,2026-08-27,215.44,42.9,676800809,1.0,uptrend,8/8
AYA,Aya Gold & Silver Inc.,基础材料,贵金属,2026-08-27,29.29,42.9,26414797,1.0,uptrend,8/8
AVAH,Aveanna Healthcare Holdings Inc.,医疗保健,医疗/护理服务,2026-08-27,13.82,42.6,43486764,1.0,uptrend,7/8
RPD,"Rapid7, Inc.",科技,计算机软件：成品软件,2026-08-27,13.5,42.4,26168864,1.0,uptrend,7/8
BMNR,"Bitmine Immersion Technologies, Inc.",金融,金融：消费服务,2026-08-27,25.63,41.8,799179753,1.0,uptrend,8/8
BTGO,"Bitgo Holdings, Inc.",金融,金融：消费服务,2026-08-27,7.16,41.8,10039256,1.0,uptrend,7/7
MP,Mp Materials Corp.,基础材料,金属矿业,2026-08-27,59.03,41.7,388463414,1.0,uptrend,6/8
KURA,"Kura Oncology, Inc.",医疗保健,生物科技：制药,2026-08-27,13.18,41.6,25372029,1.0,uptrend,8/8
ZETA,Zeta Global Holdings Corp.,科技,计算机软件：成品软件,2026-08-27,30.22,41.4,252552098,1.0,uptrend,7/8
VIA,"Via Transportation, Inc.",科技,计算机软件：成品软件,2026-08-27,28.26,40.7,17881638,1.0,uptrend,7/8
MSTR,微策略,科技,计算机软件：成品软件,2026-08-27,137.4,40.6,2702235518,1.0,uptrend,7/8
TMC,Tmc The Metals Company Inc.,基础材料,金属矿业,2026-08-27,5.09,40.6,30829466,1.0,uptrend,6/8
VEEV,Veeva Systems Inc.,科技,计算机软件：成品软件,2026-08-27,282.13,40.0,474674204,1.0,uptrend,8/8
ASM,Avino Silver & Gold Mines Ltd.,基础材料,金属矿业,2026-08-27,7.73,39.8,30976872,1.0,uptrend,7/8
UEC,Uranium Energy Corp.,基础材料,Other Metals and Minerals,2026-08-27,13.62,39.8,93953014,1.0,uptrend,8/8
SVM,希尔威,基础材料,贵金属,2026-08-27,13.46,39.6,33582574,1.0,uptrend,7/8
CRM,赛富时,科技,计算机软件：成品软件,2026-08-27,252.05,39.5,2927206694,1.0,uptrend,8/8
FRNM,"Freenome, Inc.",医疗保健,医疗专科,2026-08-27,13.94,39.5,10582716,1.0,uptrend,7/8
WPM,Wheaton Precious Metals Corp,基础材料,贵金属,2026-08-27,157.99,39.5,341352450,1.0,uptrend,8/8
PRGO,百利高,医疗保健,生物科技：制药,2026-08-27,14.37,39.4,37150679,1.0,uptrend,7/8
CADL,"Candel Therapeutics, Inc.",医疗保健,生物科技：生物制品,2026-08-27,13.75,39.3,15302877,1.0,uptrend,7/8
SRPT,"Sarepta Therapeutics, Inc.",医疗保健,生物科技：制药,2026-08-27,21.59,38.8,54475434,1.0,uptrend,7/8
AQST,"Aquestive Therapeutics, Inc.",医疗保健,生物科技：制药,2026-08-27,5.16,38.7,17192784,1.0,uptrend,7/8
SMCI,超微电脑,科技,计算机制造,2026-08-27,38.46,38.7,1968247669,1.0,uptrend,6/8
AG,First Majestic Silver Corp.,基础材料,贵金属,2026-08-27,21.74,38.6,192793881,1.0,uptrend,6/8
PLSE,"Pulse Biosciences, Inc",医疗保健,医疗/牙科器械,2026-08-27,48.56,38.6,18021680,1.0,uptrend,7/8
SBET,"Sharplink, Inc.",科技,计算机软件：成品软件,2026-08-27,8.88,38.5,62057085,1.0,uptrend,8/8
PPTA,Perpetua Resources Corp.,基础材料,贵金属,2026-08-27,26.18,38.4,30939520,1.0,uptrend,6/8
PSKY,Paramount Skydance,工业,广播电视,2026-08-27,10.8,38.3,109260207,1.0,uptrend,6/8
NEM,纽曼矿业,基础材料,贵金属,2026-08-27,132.29,38.1,911413737,1.0,uptrend,8/8
BTU,皮博迪能源,能源,煤炭开采,2026-08-27,29.44,38.0,54624035,1.0,uptrend,6/8
IBTA,"Ibotta, Inc.",非必需消费,广告,2026-08-27,36.42,38.0,11571234,1.0,uptrend,5/8
LITE,Lumentum,Telecommunications,电信设备,2026-08-27,956.14,37.9,4396122203,1.0,uptrend,7/8
KGC,金罗斯黄金,基础材料,贵金属,2026-08-27,32.51,37.8,250713419,1.0,uptrend,8/8
CDNA,"Caredx, Inc.",医疗保健,医疗专科,2026-08-27,52.36,37.4,59862954,1.0,uptrend,8/8
BBNX,"Beta Bionics, Inc.",医疗保健,医疗/牙科器械,2026-08-27,19.54,36.9,21867173,1.0,uptrend,6/8
PSNL,"Personalis, Inc.",医疗保健,医疗专科,2026-08-27,16.8,36.8,58404492,1.0,uptrend,7/8
TGB,Trekor Metals Limited,基础材料,贵金属,2026-08-27,9.68,36.7,54922792,1.0,uptrend,8/8
NMAX,"Newsmax, Inc.",工业,广播电视,2026-08-27,10.48,36.6,12361663,1.0,uptrend,6/8
GRRR,Gorilla Technology Group Inc.,科技,计算机软件：成品软件,2026-08-27,15.66,36.5,16025561,1.0,uptrend,5/8
MNTN,"Mntn, Inc.",非必需消费,广告,2026-08-27,12.6,36.5,14134398,1.0,uptrend,7/8
INTA,"Intapp, Inc.",科技,计算机软件：成品软件,2026-08-27,43.7,36.3,28415682,1.0,uptrend,7/8
DCTH,迪卡斯,医疗保健,医疗/牙科器械,2026-08-27,16.39,36.1,11984000,1.0,uptrend,6/8
BRZE,"Braze, Inc.",科技,计算机软件：成品软件,2026-08-27,34.09,36.0,74903251,1.0,uptrend,8/8
PSIX,"Power Solutions International, Inc.",工业,工业机械/零部件,2026-08-27,37.77,35.7,18415135,1.0,uptrend,5/8
MDB,"Mongodb, Inc.",科技,计算机软件：成品软件,2026-08-27,440.58,35.2,616148921,1.0,uptrend,6/8
TIC,"Tic Solutions, Inc.",非必需消费,商业服务,2026-08-27,9.81,35.1,23050127,1.0,uptrend,6/8
SBSW,Sibanye Stillwater Ltd,基础材料,贵金属,2026-08-27,12.26,34.9,57666168,1.0,uptrend,7/8
HCC,"Warrior Met Coal, Inc.",能源,煤炭开采,2026-08-27,108.26,34.8,60115939,1.0,uptrend,8/8
UUUU,Energy Fuels Inc,工业,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2026-08-27,15.74,34.4,104315385,1.0,uptrend,5/8
XNCR,"Xencor, Inc.",医疗保健,生物科技：制药,2026-08-27,28.88,34.4,31025444,1.0,uptrend,8/8
BULL,微牛,金融,投资银行/经纪服务,2026-08-27,9.57,33.8,133408269,1.0,uptrend,8/8
HBM,Hudbay Minerals Inc.,基础材料,金属矿业,2026-08-27,30.36,33.5,126586157,1.0,uptrend,7/8
LPTH,"Lightpath Technologies, Inc.",科技,半导体,2026-08-27,13.79,33.5,33100786,1.0,uptrend,6/8
AGI,Alamos Gold Inc.,基础材料,贵金属,2026-08-27,37.88,33.4,164151212,1.0,uptrend,5/8
WT,"Wisdomtree, Inc.",金融,投资银行/经纪服务,2026-08-27,25.04,33.4,56918048,1.0,uptrend,7/8
QLYS,科力斯,科技,计算机软件：成品软件,2026-08-27,188.59,33.1,129936237,1.0,uptrend,7/8
RDW,Redwire Corporation,工业,Military/Government/Technical,2026-08-27,11.27,33.1,203163146,1.0,uptrend,5/8
SDGR,"Schrodinger, Inc.",医疗保健,生物科技：制药,2026-08-27,20.41,33.0,21709113,1.0,uptrend,7/8
GTLB,Gitlab Inc.,科技,计算机软件：成品软件,2026-08-27,44.81,32.9,169681634,1.0,uptrend,7/8
CACI,CACI国际,科技,电子数据处理服务,2026-08-27,633.82,32.8,186358367,1.0,uptrend,6/8
CGAU,Centerra Gold Inc.,基础材料,贵金属,2026-08-27,24.25,32.7,36163427,1.0,uptrend,8/8
FROG,捷蛙科技,科技,计算机软件：成品软件,2026-08-27,104.03,32.7,195402213,1.0,uptrend,7/8
WK,Workiva Inc.,科技,计算机软件：成品软件,2026-08-27,77.6,32.6,55151944,1.0,uptrend,7/8
RGLD,皇家黄金,工业,贵金属,2026-08-27,268.96,32.5,179853523,1.0,uptrend,8/8
ATKR,Atkore Inc.,其他,工业机械/零部件,2026-08-27,93.66,32.4,135995037,1.0,uptrend,7/8
P,"Everpure, Inc.",科技,电子元器件,2026-08-27,99.24,32.2,367628556,1.0,uptrend,6/8
PGY,Pagaya Technologies Ltd.,金融,金融：消费服务,2026-08-27,23.26,31.9,62385071,1.0,uptrend,7/8
APPF,"Appfolio, Inc.",科技,计算机软件：成品软件,2026-08-27,232.06,31.8,82506250,1.0,uptrend,7/8
MRVL,迈威尔科技,科技,半导体,2026-08-27,241.45,31.7,5320885500,1.0,uptrend,6/8
ALMR,"Alamar Biosciences, Inc.",工业,生物科技：实验室分析仪器,2026-08-27,33.0,31.6,11817560,1.0,uptrend,5/7
GWRE,"Guidewire Software, Inc.",科技,计算机软件：成品软件,2026-08-27,201.09,31.3,185885686,1.0,uptrend,8/8
TXG,"10X Genomics, Inc.",工业,生物科技：实验室分析仪器,2026-08-27,64.85,31.2,189783205,1.0,uptrend,7/8
TH,Target Hospitality Corp.,非必需消费,酒店/度假村,2026-08-27,18.96,30.8,21788514,1.0,uptrend,6/8
NUTX,Nutex Health Inc.,非必需消费,商业服务,2026-08-27,193.9,30.4,29527412,1.0,uptrend,7/8
ESTC,Elastic N.V.,科技,计算机软件：成品软件,2026-08-27,83.74,30.3,198975838,1.0,uptrend,8/8
SPT,"Sprout Social, Inc",科技,计算机软件：成品软件,2026-08-27,11.04,30.3,14068943,1.0,uptrend,8/8
HMY,哈莫尼黄金,基础材料,贵金属,2026-08-27,21.03,30.2,69871472,1.0,uptrend,7/8
ACHV,"Achieve Life Sciences, Inc.",医疗保健,生物科技：体外/体内诊断,2026-08-27,8.18,29.8,10163845,1.0,uptrend,7/8
ALOY,Realloys Inc.,基础材料,金属矿业,2026-08-27,11.42,29.5,35690474,1.0,uptrend,5/8
WGS,Genedx Holdings Corp.,医疗保健,医疗/护理服务,2026-08-27,89.24,29.4,58918559,1.0,uptrend,7/8
HYMC,Hycroft Mining Holding Corporation,基础材料,贵金属,2026-08-27,25.96,29.3,47187787,1.0,uptrend,6/8
ELF,"E.L.F. Beauty, Inc.",非必需消费,包装商品/化妆品,2026-08-27,106.17,29.1,229330563,1.0,uptrend,7/8
CGEM,"Cullinan Therapeutics, Inc.",医疗保健,生物科技：生物制品,2026-08-27,22.6,29.0,13970687,1.0,uptrend,6/8
FIG,"Figma, Inc.",科技,计算机软件：成品软件,2026-08-27,30.62,28.9,559949355,1.0,uptrend,7/8
TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,医疗保健,医药化工与植物药,2026-08-27,11.03,28.7,10107544,1.0,uptrend,7/8
IT,加特纳,非必需消费,Other Consumer Services,2026-08-27,196.6,28.6,291023298,1.0,uptrend,7/8
HALO,奥洛兹美医疗,医疗保健,生物科技：生物制品,2026-08-27,106.92,28.4,238202857,1.0,uptrend,7/8
RNG,铃盛,科技,电子数据处理服务,2026-08-27,68.53,28.4,103933925,1.0,uptrend,7/8
SKE,Skeena Resources Limited,基础材料,贵金属,2026-08-27,35.12,28.4,19544331,1.0,uptrend,8/8
PUBM,"Pubmatic, Inc.",科技,计算机软件：编程与数据处理,2026-08-27,16.35,28.3,13940275,1.0,uptrend,6/8
SII,Sprott Inc.,金融,金融：消费服务,2026-08-27,136.36,28.3,28665014,1.0,uptrend,8/8
UMAC,"Unusual Machines, Inc.",科技,Radio And Television Broadcasting And Communications Equipment,2026-08-27,26.3,28.2,140169740,1.0,uptrend,5/8
CXM,"Sprinklr, Inc.",科技,计算机软件：成品软件,2026-08-27,7.94,28.1,19514717,1.0,uptrend,8/8
ASAN,阿莎娜,科技,计算机软件：成品软件,2026-08-27,10.17,27.9,39469354,1.0,uptrend,7/8
CSTL,"Castle Biosciences, Inc.",医疗保健,医疗专科,2026-08-27,34.26,27.9,16035065,1.0,uptrend,7/8
SPSC,"Sps Commerce, Inc.",科技,计算机软件：成品软件,2026-08-27,84.2,27.9,45216202,1.0,uptrend,7/8
ETON,"Eton Pharmaceuticals, Inc.",医疗保健,生物科技：制药,2026-08-27,62.67,27.8,36413765,1.0,uptrend,7/8
GO,Grocery Outlet Holding Corp.,必需消费,连锁餐饮/食品零售,2026-08-27,11.7,27.7,31119018,1.0,uptrend,7/8
OCUL,"Ocular Therapeutix, Inc.",医疗保健,生物科技：制药,2026-08-27,10.82,27.7,29018015,1.0,uptrend,5/8
TPG,Tpg Inc.,金融,投资管理,2026-08-27,53.94,27.7,170861748,1.0,uptrend,7/8
USGO,Grocery Outlet Holding Corp.,基础材料,贵金属,2026-08-27,11.7,27.7,31119018,1.0,uptrend,7/8
ZYME,Zymeworks Inc.,医疗保健,生物科技：制药,2026-08-27,29.01,27.7,18031357,1.0,uptrend,7/8
MLAB,"Mesa Laboratories, Inc.",工业,工业机械/零部件,2026-08-27,128.65,27.3,18833658,1.0,uptrend,7/8
VIR,"Vir Biotechnology, Inc.",医疗保健,生物科技：生物制品,2026-08-27,11.31,27.1,15460645,1.0,uptrend,7/8
NCNO,"Ncino, Inc.",科技,计算机软件：成品软件,2026-08-27,23.32,26.9,52073076,1.0,uptrend,8/8
ANRO,"Alto Neuroscience, Inc.",医疗保健,生物科技：制药,2026-08-27,36.3,26.8,14957914,1.0,uptrend,7/8
RGEN,Repligen Corporation,医疗保健,生物科技：生物制品,2026-08-27,182.03,26.8,167872255,1.0,uptrend,7/8
WPP,Wpp Plc American Depositary Shs Each Rep 5 Ord,非必需消费,广告,2026-08-27,25.95,26.8,13679335,1.0,uptrend,6/8
OGC,Oceanagold Corporation,,,2026-08-27,31.45,26.7,16286039,1.0,uptrend,7/8
SA,"Seabridge Gold, Inc.",基础材料,贵金属,2026-08-27,34.06,26.7,27284840,1.0,uptrend,8/8
TDW,潮水公司,非必需消费,海上运输,2026-08-27,93.04,26.6,59091928,1.0,uptrend,7/8
CMPS,Compass Pathways Plc,医疗保健,生物科技：制药,2026-08-27,14.64,26.5,36434530,1.0,uptrend,7/8
DUOT,"Duos Technologies Group, Inc.",科技,计算机软件：成品软件,2026-08-27,10.3,26.5,13588172,1.0,uptrend,5/8
SAIL,"Sailpoint, Inc.",科技,计算机软件：成品软件,2026-08-27,20.45,26.5,58934240,1.0,uptrend,8/8
TWLO,Twilio Inc.,科技,计算机软件：成品软件,2026-08-27,241.34,26.4,606675835,1.0,uptrend,6/8
CRL,查尔斯河实验室,医疗保健,生物科技：商业物理与生物研究,2026-08-27,296.41,26.3,269284603,1.0,uptrend,7/8
HP,赫尔默里奇和佩恩材料,能源,油气生产,2026-08-27,42.42,26.3,57209981,1.0,uptrend,7/8
ZS,"Zscaler, Inc.",科技,电子数据处理服务,2026-08-27,187.3,26.2,397693747,1.0,uptrend,7/8
SHOP,Shopify Inc.,科技,计算机软件：成品软件,2026-08-27,154.33,26.1,1506205452,1.0,uptrend,7/8
TTAN,"Servicetitan, Inc.",科技,计算机软件：成品软件,2026-08-27,100.64,26.0,102955098,1.0,uptrend,7/8
OR,Or Royalties Inc.,基础材料,贵金属,2026-08-27,38.64,25.9,39343654,1.0,uptrend,8/8
NOW,现在服务公司,科技,计算机软件：成品软件,2026-08-27,138.43,25.8,2205507004,1.0,uptrend,7/8
NTRA,"Natera, Inc.",医疗保健,医疗专科,2026-08-27,338.7,25.6,463850761,1.0,uptrend,7/8
B,巴里克矿业,基础材料,贵金属,2026-08-27,47.32,25.5,519011340,1.0,uptrend,7/8
USB,巴里克矿业,金融,大型银行,2026-08-27,47.32,25.5,519011340,1.0,uptrend,7/8
CCC,Ccc Intelligent Solutions Holdings Inc.,科技,计算机软件：成品软件,2026-08-27,7.6,25.4,69255258,1.0,uptrend,7/8
CNR,"Core Natural Resources, Inc.",能源,煤炭开采,2026-08-27,101.66,25.3,52027020,1.0,uptrend,7/8
AXGN,"Axogen, Inc.",医疗保健,生物科技：电子医疗设备,2026-08-27,51.73,25.1,43414991,1.0,uptrend,8/8
EL,雅诗兰黛,非必需消费,包装商品/化妆品,2026-08-27,106.21,25.1,340739271,1.0,uptrend,8/8
IMNM,"Immunome, Inc.",医疗保健,生物科技：制药,2026-08-27,28.87,25.1,32989541,1.0,uptrend,7/8
NOG,"Northern Oil And Gas, Inc.",能源,油气生产,2026-08-27,26.08,25.1,56926237,1.0,uptrend,8/8
PAAS,泛美白银,基础材料,贵金属,2026-08-27,54.89,25.1,262787528,1.0,uptrend,8/8
ZBRA,斑马技术,工业,工业机械/零部件,2026-08-27,361.11,25.1,295016332,1.0,uptrend,5/8
FIVN,"Five9, Inc.",科技,电子数据处理服务,2026-08-27,34.57,25.0,97441158,1.0,uptrend,7/8
IE,Ivanhoe Electric Inc.,基础材料,金属矿业,2026-08-27,11.69,25.0,21898363,1.0,uptrend,6/8
NTSK,"Netskope, Inc.",科技,计算机软件：成品软件,2026-08-27,15.12,25.0,62280616,1.0,uptrend,6/8
BETA,"Beta Technologies, Inc.",工业,Aerospace,2026-08-27,21.95,24.9,50129680,1.0,uptrend,5/8
SNPS,新思科技,科技,计算机软件：成品软件,2026-08-27,464.89,24.9,682270134,1.0,uptrend,6/8
WLDN,Willdan集团,非必需消费,Military/Government/Technical,2026-08-27,87.87,24.9,23418150,1.0,uptrend,5/8
CLYM,"Climb Bio, Inc.",医疗保健,生物科技：制药,2026-08-27,15.06,24.7,18710492,1.0,uptrend,5/8
DXPE,"Dxp Enterprises, Inc.",工业,工业机械/零部件,2026-08-27,192.81,24.6,28234296,1.0,uptrend,7/8
PTEN,"Patterson-Uti Energy, Inc.",能源,油气生产,2026-08-27,12.26,24.5,85786313,1.0,uptrend,8/8
LDOS,"Leidos Holdings, Inc.",科技,电子数据处理服务,2026-08-27,139.86,24.4,205558543,1.0,uptrend,6/8
SMTC,先科电子,科技,半导体,2026-08-27,142.43,24.3,419273173,1.0,uptrend,6/8
ITGR,Integer Holdings Corporation,医疗保健,生物科技：电子医疗设备,2026-08-27,125.3,24.2,218575914,1.0,uptrend,7/8
SKM,韩国SK电信,Telecommunications,电信设备,2026-08-27,39.47,24.2,69501418,1.0,uptrend,6/8
ENTG,英特格,工业,Plastic Products,2026-08-27,145.31,24.1,320795006,1.0,uptrend,5/8
MRVI,"Maravai Lifesciences Holdings, Inc.",医疗保健,生物科技：制药,2026-08-27,8.37,24.0,31986855,1.0,uptrend,6/8
HAE,美国血液技术,医疗保健,医疗/牙科器械,2026-08-27,105.0,23.8,84964048,1.0,uptrend,7/8
FCX,麦克莫兰铜金,基础材料,金属矿业,2026-08-27,78.42,23.6,1004696662,1.0,uptrend,8/8
HNGE,"Hinge Health, Inc.",科技,电子数据处理服务,2026-08-27,92.85,23.6,158748265,1.0,uptrend,8/8
