A_rank 日报 · 2026-09-04 A股板块得分排名

== 今日板块排名 ==
排名  industry  趋势分   动量分   总分    代表股                                                                                                                                       入池   
10  航运港口      5.88  5.51  5.7   海通发展(8/8,+27%)、锦江航运(8/8,+19%)、招商港口(8/8,+10%)、青岛港(8/8,+6%)、上港集团(8/8,+5%)、◎海通发展(+49%)、◎招商南油(+22%)、◎北部湾港(+17%)、◎中远海能(+16%)、◎厦门港务(+14%)       动量   
11  化学制品      5.27  6.09  5.68  华宝股份(8/8,+27%)、金丹科技(8/8,+20%)、吉华集团(8/8,+17%)、赞宇科技(8/8,+13%)、建新股份(8/8,+10%)、◎华宝股份(+29%)、◎金丹科技(+27%)、◎高争民爆(+27%)、◎金力泰(+24%)、◎东方材料(+17%)     趋势+动量
12  环境治理      5.43  5.58  5.5   南大环境(8/8,+55%)、ST雪浪(8/8,+29%)、深水海纳(8/8,+24%)、卓锦股份(8/8,+21%)、绿色动力(8/8,+11%)、◎南大环境(+47%)、◎深水海纳(+43%)、◎维尔利(+19%)、◎ST雪浪(+13%)、◎津膜科技(+12%)     趋势+动量
13  医疗器械      5.42  5.22  5.32  正川股份(8/8,+26%)、洁特生物(8/8,+25%)、ST凯利(8/8,+3%)、采纳股份(7/8,+43%)、透景生命(7/8,+31%)、◎正川股份(+28%)、◎采纳股份(+25%)、◎洁特生物(+25%)、◎可孚医疗(+22%)、◎五洲医疗(+10%)     趋势+动量
14  电网设备      5.12  5.27  5.2   大烨智能(8/8,+20%)、林洋能源(8/8,+6%)、太阳电缆(7/8,+12%)、金龙羽(7/8,+11%)、迦南智能(7/8,+10%)、◎远东股份(+29%)、◎华盛昌(+19%)、◎太阳电缆(+17%)、◎望变电气(+15%)、◎金盘科技(+15%)       趋势+动量
15  专用设备      5.08  4.84  4.96  森赫股份(8/8,+41%)、弘宇股份(8/8,+11%)、浩洋股份(8/8,+11%)、一拖股份(8/8,+10%)、鸿铭股份(8/8,+8%)、◎天沃科技(+26%)、◎ST标准(+22%)、◎鸿铭股份(+21%)、◎中坚科技(+17%)、◎海默科技(+14%)     趋势   
16  半导体       4.91  4.96  4.94  英集芯(8/8,+55%)、力芯微(7/8,+47%)、灿瑞科技(7/8,+39%)、领先股份(7/8,+22%)、炬光科技(6/8,+36%)、◎灿瑞科技(+36%)、◎英集芯(+32%)、◎领先股份(+29%)、◎炬光科技(+18%)、◎盛景微(+10%)        动量   
17  家居用品      5.36  4.4   4.88  海鸥住工(8/8,+103%)、德尔未来(8/8,+27%)、致欧科技(8/8,+20%)、帝欧水华(8/8,+18%)、建霖家居(8/8,+16%)、◎德力股份(+23%)、◎*ST联翔(+21%)、◎致欧科技(+18%)、◎匠心家居(+14%)、◎德尔未来(+14%)  趋势   
18  计算机设备     5.52  3.13  4.32  熙菱信息(8/8,+14%)、雷柏科技(8/8,+3%)、兆日科技(7/8,+79%)、*ST英飞(7/8,+47%)、捷安高科(7/8,+24%)、◎古鳌科技(+17%)、◎熙菱信息(+13%)、◎新 大 陆(+10%)、◎声迅股份(+10%)、◎力鼎光电(+9%)    趋势   
19  银行Ⅱ       6.85  1.31  4.08  齐鲁银行(8/8,+16%)、中国银行(8/8,+14%)、苏州银行(8/8,+12%)、青岛银行(8/8,+12%)、长沙银行(8/8,+9%)、◎招商银行(+6%)、◎苏州银行(+5%)、◎兴业银行(+5%)、◎浦发银行(+4%)、◎北京银行(+4%)          趋势   
20  服装家纺      5.29  2.65  3.97  中胤时尚(8/8,+21%)、地素时尚(8/8,+14%)、雅戈尔(8/8,+8%)、哈森股份(7/8,+40%)、奥康国际(7/8,+26%)、◎比音勒芬(+14%)、◎朗姿股份(+13%)、◎九牧王(+11%)、◎梦洁股份(+11%)、◎*ST步森(+6%)       趋势   
21  农化制品      5.19  1.68  3.44  四川美丰(8/8,+31%)、诺 普 信(8/8,+16%)、润丰股份(8/8,+7%)、农心科技(7/8,+13%)、中旗股份(7/8,+12%)、◎广信股份(+11%)、◎四川美丰(+11%)、◎诺 普 信(+9%)、◎利尔化学(+6%)、◎扬农化工(+4%)      趋势   
算法: ①个股分=上涨趋势8条件(多头排列/站上年线/MA20上行/低点抬高/高点抬高/斜率向上/近60日新高/放量)满足个数(1个1分, >=5命中; 历史不足按比例折到/8, 如5/7->6/8); ②行业加权 8/8->8分、7/8->6分、6/8->4分(6以下计0); ③行业得分=成员加权分之和, 趋势分=得分/股票数; ④动量分(±10)与动量入池分同源: 板块全部成分股按 m=当日%+近2日%+近3日% 降序前10(不足按实际只数)S=Σ, 动量入池分=S, 展示动量分=S/(15%*只数/10)*0.5(允许为负); ⑤总分=趋势分*50%+动量分*50%, 入池=原得分前15 ∪ 动量入池分前15(并集, 最多30), 池内按总分降序; 入池列: 趋势=得分入池, 动量=动量入池, 趋势+动量=双口径; ⑥代表股=趋势前5(加权分, X/8,+近20日%) + ◎动量前5(板块全部成分股按m最强, 记+短线%)

== 与前一日排名升降 ==
行业       状态   排名变化  趋势分变化  动量分变化  总分变化   评价         
----------------------------------------------------
IT服务Ⅱ    池内   3     0.31   1.11   0.71   趋势增强、动量增强  
汽车零部件    池内   -1    -0.22  -1.75  -0.98  趋势减弱、动量大幅下滑
养殖业      新进池  -     -      -      -      趋势很强、动量强   
饲料       新进池  -     -      -      -      趋势很强、动量强   
软件开发     池内   4     -0.22  1.66   0.72   趋势减弱、动量爆发  
一般零售     池内   -4    0.01   -2.17  -1.08  趋势增强、动量大幅下滑
出版       池内   10    -0.20  2.85   1.32   趋势减弱、动量爆发  
工程咨询服务Ⅱ  新进池  -     -      -      -      趋势强、动量一般   
航运港口     新进池  -     -      -      -      趋势强、动量一般   
化学制品     池内   -2    0.10   0.24   0.17   趋势增强、动量增强  
环境治理     池内   2     0.51   0.15   0.33   趋势增强、动量增强  
医疗器械     池内   -5    0.04   -0.54  -0.25  趋势增强、动量减弱  
电网设备     池内   -10   0.32   -2.43  -1.05  趋势增强、动量大幅下滑
专用设备     池内   2     0.34   -0.19  0.08   趋势增强、动量减弱  
半导体      新进池  -     -      -      -      趋势弱、动量一般   
家居用品     池内   2     0.36   0.56   0.46   趋势增强、动量增强  
计算机设备    新进池  -     -      -      -      趋势一般、动量弱   
银行Ⅱ      池内   2     0.12   -0.08  0.02   趋势增强、动量减弱  
服装家纺     池内   -4    -0.28  -1.71  -0.99  趋势减弱、动量大幅下滑
农化制品     新进池  -     -      -      -      趋势弱、动量弱    
消费电子     退出池  -     -      -      -      趋势弱、动量弱    
化学制药     退出池  -     -      -      -      趋势弱、动量弱    
光学光电子    退出池  -     -      -      -      趋势弱、动量弱    
化学原料     退出池  -     -      -      -      趋势强、动量弱    
自动化设备    退出池  -     -      -      -      趋势弱、动量弱    
元件       退出池  -     -      -      -      趋势弱、动量弱    
燃气Ⅱ      退出池  -     -      -      -      趋势很强、动量弱   
煤炭开采     退出池  -     -      -      -      趋势一般、动量弱   
算法: 前一日与今日各自按上方A_rank(入池=原得分前15 ∪ 动量入池分前15, 池内按总分=趋势分*50%+动量分*50%降序)后对比; 状态: 池内=两日均在池内, 新进池=今日新进, 退出池=今日掉出; 涨红跌绿: 排名变化=前日排名-今日排名(正=名次上升); 趋势分变化/动量分变化/总分变化=今日-前日; 评价: 池内按趋势分变化(正=增强/负=减弱)+动量分变化(>=1.5爆发/0~1.5增强/-1.5~0减弱/<-1.5大幅下滑); 新进/退出按当日动量分·趋势分在今日池内百分位(前10%很强/前10-30%强/30-70%一般/70-100%弱)
